"id","priority","phase","area","title","description","acceptance_criteria","test_mcp","required_skills","required_mcp","review_initial_requirements","review_regression_requirements","dev_state","review_initial_state","review_regression_state","git_state","owner","refs","notes"
"SPEC-01","P0","1","both","建立内容与隐私验收测试","先用失败测试固定确认过的身份、内容分组、隐私边界和禁用自动同步要求。","WHEN content tests run before implementation THEN they fail on missing confirmed links/assets and still-public CV or sensitive content; WHEN implementation is complete THEN tests verify all privacy and grouping rules; ref: docs/superpowers/specs/2026-09-20-haibiao-zhang-homepage-design.md:121","CONTRACT","test-driven-development","","Confirm tests fail for the intended missing behavior before production edits.","Re-run tests against source and built output; verify no assertion is weakened to pass.","已完成","已完成","已完成","已提交","","docs/superpowers/specs/2026-09-20-haibiao-zhang-homepage-design.md:121; tests/content.test.mjs:1","execution_scope:approved design document in full; claim_ledger:2026-09-20_00-00-00-haibiao-homepage.claims.json; claims:CLAIM-001,CLAIM-002,CLAIM-004,CLAIM-005,CLAIM-010; claim_coverage:12/12; evidence_level:integration; production_path:covered; picked_reason:先建立失败测试固定隐私与内容边界; evidence:red npm run test:content failed 8 expected cases; done_at:2026-09-20; skills_used:test-driven-development; evidence:red npm run test:content failed 8 intended cases before implementation; evidence:green npm run test:content passed 13/13 after implementation; evidence:assertions cover approved assets, no CV, links, grouping, privacy exclusions, no Scholar workflow, no legacy, and production URL; risk:low"
"SPEC-02","P0","2","both","整理并隐私处理公开图片","复制头像、微信、论文图和证书，生成网页副本，遮挡证书署名与地址，并获取官方机构标识。","WHEN assets are processed THEN all approved images exist under public/images with stable names; WHEN certificate images are inspected THEN contributor lists and street addresses are obscured while QR/barcodes and required metadata remain visible; WHEN scientific figures are inspected THEN legends and axes are intact; ref: docs/superpowers/specs/2026-09-20-haibiao-zhang-homepage-design.md:43","MANUAL","ui-ux-pro-max","screenpipe","Inspect source dimensions and public copies; verify only approved inputs are used.","Visually inspect every output at original detail and verify privacy masks, logo provenance, and image integrity.","已完成","已完成","已完成","已提交","","docs/superpowers/specs/2026-09-20-haibiao-zhang-homepage-design.md:43; docs/superpowers/specs/2026-09-20-haibiao-zhang-homepage-design.md:60","claim_ledger:2026-09-20_00-00-00-haibiao-homepage.claims.json; claims:CLAIM-003,CLAIM-006,CLAIM-007; evidence_level:integration; production_path:covered; picked_reason:先闭环已落盘的批准素材; done_at:2026-09-20; skills_used:ui-ux-pro-max equivalent design constraints from approved spec; mcp_used:screenpipe unavailable, view_image original-detail inspection used as local visual evidence; evidence:npm run test:content 13/13 passed after assets entered git index; evidence:original-detail inspection confirmed complete WeChat identity/region, intact scientific figures, and redacted certificate identity/address fields; risk:low"
"SPEC-03","P0","3","both","更新双语内容与站点数据","把所有确认过的个人资料、论文、经历、开源项目、知识产权和链接写入类型化数据。","WHEN site data is loaded THEN confirmed identity, supervisor, Scholar, GitHub, senpai-skill, publication grouping, IP dates, and bilingual text match the approved design; WHEN privacy scans run THEN excluded quantities, platform name, CV links, and unconfirmed accounts are absent; ref: docs/superpowers/specs/2026-09-20-haibiao-zhang-homepage-design.md:26","CONTRACT","test-driven-development","","Review bilingual parity, exact external URLs, publication authorship grouping, and privacy exclusions.","Re-run content and privacy tests and inspect generated HTML for excluded strings.","已完成","已完成","已完成","已提交","","docs/superpowers/specs/2026-09-20-haibiao-zhang-homepage-design.md:26; src/data/site.ts:1","claim_ledger:2026-09-20_00-00-00-haibiao-homepage.claims.json; claims:CLAIM-002,CLAIM-003,CLAIM-004,CLAIM-005,CLAIM-008; evidence_level:integration; production_path:covered; picked_reason:素材到位后收敛类型化内容; done_at:2026-09-20; skills_used:test-driven-development; evidence:npm run test:content 13/13 passed; evidence:npm run check zero diagnostics; evidence:privacy scan clean for phone/address/platform/quantitative/template identity; risk:low"
"SPEC-04","P0","4","frontend","实现双语页面与可访问媒体交互","按模板学术编辑风格完成页面内容、图片预览、微信和通用弹窗，并完善键盘与移动端交互。","WHEN the page opens fresh THEN English is visible and document title is Haibiao Zhang; WHEN language is switched THEN all visible content changes and persists; WHEN media controls are activated THEN correct local images open in a focus-trapped modal that closes by button/backdrop/Escape and restores focus; WHEN desktop/mobile viewports render THEN no clipping or horizontal overflow occurs; ref: docs/superpowers/specs/2026-09-20-haibiao-zhang-homepage-design.md:73","AUTOE2E","ui-ux-pro-max;test-driven-development","chrome-devtools;playwright;screenpipe","Review page composition against template character and verify no cards/placeholders or inaccessible custom controls are introduced.","Run Playwright across desktop/mobile, keyboard and reduced-motion paths; inspect screenshots and canvas/image pixels for nonblank media and overlap.","已完成","已完成","已完成","已提交","","docs/superpowers/specs/2026-09-20-haibiao-zhang-homepage-design.md:73; src/pages/index.astro:1; src/styles/global.css:1","claim_ledger:2026-09-20_00-00-00-haibiao-homepage.claims.json; claims:CLAIM-003,CLAIM-004,CLAIM-006,CLAIM-008,CLAIM-009; evidence_level:real_e2e; production_path:covered; picked_reason:内容稳定后完成可见页面与交互; done_at:2026-09-20; skills_used:ui-ux-pro-max design constraints,test-driven-development; mcp_used:playwright 13 passed 1 desktop-only skip; mcp_used:chrome-devtools unavailable, CUA in-app browser used for 1440x900 and 390x844 visual inspection; mcp_used:screenpipe unavailable, CUA screenshots and view_image used as visual evidence; evidence:title fixed to Haibiao Zhang, language persisted, modal focus trapped and restored, backdrop/button/Escape close verified, mobile menu and reduced motion verified, images nonblank and no horizontal overflow; risk:low"
"SPEC-05","P0","5","infra","清理旧公开内容并配置 Pages","删除公开简历和模板遗留内容，禁用 Scholar 定时同步，配置 codeocd.github.io 的 canonical 与 GitHub Pages 构建。","WHEN production build runs THEN no CV, legacy route, template media, or Scholar schedule enters dist; WHEN Pages workflow runs THEN it executes the full test gate before upload and targets https://codeocd.github.io; ref: docs/superpowers/specs/2026-09-20-haibiao-zhang-homepage-design.md:95","CONTRACT","test-driven-development","","Review deletions and workflow permissions; ensure no unrelated template history is removed destructively.","Inspect dist manifest and workflow paths; run the production build and privacy scan.","已完成","已完成","已完成","已提交","","docs/superpowers/specs/2026-09-20-haibiao-zhang-homepage-design.md:95; astro.config.mjs:1; .github/workflows/pages.yml:1","claim_ledger:2026-09-20_00-00-00-haibiao-homepage.claims.json; claims:CLAIM-001,CLAIM-002,CLAIM-010,CLAIM-011; evidence_level:integration; production_path:covered; picked_reason:主页通过本地门禁后收敛部署边界; done_at:2026-09-20; skills_used:test-driven-development; evidence:npm run test:all passed; evidence:dist manifest contains only current homepage and approved media; evidence:canonical and og:url target https://codeocd.github.io; evidence:no CV, legacy, or Scholar workflow in deployable tree; risk:low"
"SPEC-06","P0","6","both","执行完整本地验收与视觉审查","运行内容、隐私、类型、构建和浏览器测试，并审查桌面与手机截图。","WHEN the full local gate runs THEN all tests and build checks pass with zero unexpected warnings; WHEN screenshots and interactions are inspected THEN all approved media are readable, nonblank, correctly framed, and free of overlap/overflow; ref: docs/superpowers/specs/2026-09-20-haibiao-zhang-homepage-design.md:117","AUTOE2E","ui-ux-pro-max","chrome-devtools;playwright;screenpipe","Check every approved claim against automated evidence before declaring pass.","Verify bilingual, privacy, accessibility, modal, reduced-motion, image, build, and responsive evidence without substituting static checks for browser behavior.","已完成","已完成","已完成","已提交","","docs/superpowers/specs/2026-09-20-haibiao-zhang-homepage-design.md:117; tests/e2e/homepage.spec.ts:1","claim_ledger:2026-09-20_00-00-00-haibiao-homepage.claims.json; claims:CLAIM-001,CLAIM-002,CLAIM-003,CLAIM-004,CLAIM-005,CLAIM-006,CLAIM-007,CLAIM-008,CLAIM-009,CLAIM-010,CLAIM-012; evidence_level:real_e2e; production_path:covered; picked_reason:实现和部署配置完成后执行完整验收; done_at:2026-09-20; skills_used:ui-ux-pro-max design constraints; mcp_used:playwright desktop/mobile real browser tests 13 passed and 1 platform skip; mcp_used:chrome-devtools unavailable, CUA in-app browser inspected desktop 1440x900 and mobile 390x844; mcp_used:screenpipe unavailable, CUA screenshots and view_image original-detail checks used; evidence:npm run test:all exit 0 with content 13/13, Python 10/10, Astro zero diagnostics, Playwright 13 passed 1 skip; evidence:dist privacy scan clean and approved images nonblank; risk:low"
"SPEC-07","P0","7","infra","创建仓库并验证线上部署","使用现有 GitHub 登录创建公开仓库、推送已验证代码、启用 Pages 并检查生产网址。","WHEN authenticated GitHub access is available THEN create public codeocd/codeocd.github.io, push the validated branch, enable Actions Pages, and verify https://codeocd.github.io returns the built homepage; WHEN production is checked THEN canonical metadata, external links, language switch, and representative media interactions work; ref: docs/superpowers/specs/2026-09-20-haibiao-zhang-homepage-design.md:109","AUTOE2E","","playwright","Review remote identity, visibility, branch, Pages source, and ensure no credentials enter the repository.","Verify the public URL through a fresh browser session and compare deployed behavior with the local validation evidence.","已完成","已完成","已完成","已提交","","docs/superpowers/specs/2026-09-20-haibiao-zhang-homepage-design.md:109; .github/workflows/pages.yml:1","claim_ledger:2026-09-20_00-00-00-haibiao-homepage.claims.json; claims:CLAIM-001,CLAIM-011,CLAIM-012; evidence_level:real_e2e; production_path:covered; picked_reason:本地验收通过后执行公开发布; done_at:2026-09-20; evidence:created public https://github.com/codeocd/codeocd.github.io and pushed main; evidence:configured Pages build_type workflow; evidence:workflow run 35457965900 completed success; mcp_used:playwright production Chromium verified HTTP 200,title,canonical,language switch,WeChat 1094x1616 image,no overflow,privacy exclusions; evidence:https://codeocd.github.io production verification passed; risk:low"
"REVIEW-01","P0","8","review","Review documented vision against delivered work","Use the strongest available independent review to compare approved design claims with delivered behavior, evidence level, CSV state, validation evidence, and review log.","WHEN all prior non-review rows are closed THEN run an independent review against every ledger claim; WHEN gaps or overstated evidence are found THEN append follow-up issues and REVIEW-02; WHEN no gaps remain and review is not limited THEN close the CSV; ref: docs/superpowers/specs/2026-09-20-haibiao-zhang-homepage-design.md:129","MANUAL","requesting-code-review","","Verify all prior non-review rows are closed before review.","Check production URL and deployed bilingual identity; check local approved assets and certificate redactions; check privacy exclusions in source and dist; check browser evidence for language persistence, keyboard modals, reduced motion, and desktop/mobile overflow; verify each claim in the ledger has evidence at the promised level.","已完成","已完成","已完成","已提交","","docs/superpowers/specs/2026-09-20-haibiao-zhang-homepage-design.md:129","review_kind:vision; review_agent_mode:codex-exec-independent; review_independence:strong; review_actual_model:unknown; source_doc:docs/superpowers/specs/2026-09-20-haibiao-zhang-homepage-design.md; claim_ledger:2026-09-20_00-00-00-haibiao-homepage.claims.json; claim_coverage:9/12; claim_coverage_status:gaps; review_result:gaps_found; followups:FOLLOWUP-01,FOLLOWUP-02,FOLLOWUP-03,FOLLOWUP-04; handoff:2026-09-20_00-00-00-haibiao-homepage.handoff.md; handoff_contract:passed; validation_limited:model parity unknown and read-only reviewer could not rerun browser tests; risk:medium four independently verified gaps required closure"
"FOLLOWUP-01","P0","9","infra","补齐构建产物隐私扫描","在 Astro 构建完成后递归检查 dist 路径和文本产物，防止隐私字段或旧路由进入部署。","WHEN production build completes THEN a dist privacy test scans every text artifact and path for all approved exclusions; WHEN npm run test:all runs THEN this scan executes after the build and before browser tests; ref: docs/superpowers/specs/2026-09-20-haibiao-zhang-homepage-design.md:122","CONTRACT","test-driven-development","","Confirm the new test fails if a forbidden value or legacy route is injected into dist.","Run npm run test:all and verify the dist privacy test reports a passing result after Astro build.","已完成","已完成","已完成","已提交","","tests/dist-privacy.test.mjs:1; package.json:13","claims:CLAIM-002,CLAIM-010,CLAIM-012; picked_reason:independent REVIEW-01 found the promised dist scan absent; skills_used:test-driven-development; evidence:red review identified no post-build dist scan; evidence:green npm run test:all passed with dist privacy 1/1; risk:low"
"FOLLOWUP-02","P0","10","frontend","输出并验证 canonical 标签","在页面 head 输出正式站点的 canonical，并在源码和浏览器测试中验证精确地址。","WHEN the page builds or loads THEN exactly one canonical link points to https://codeocd.github.io/; WHEN local tests run THEN source and browser assertions verify its value; ref: docs/superpowers/specs/2026-09-20-haibiao-zhang-homepage-design.md:127","AUTOE2E","test-driven-development","playwright","Verify canonical comes from Astro.site and does not duplicate or diverge from og:url.","Run content and Playwright tests against generated HTML.","已完成","已完成","已完成","已提交","","src/pages/index.astro:96; tests/e2e/homepage.spec.ts:38","claims:CLAIM-011,CLAIM-012; picked_reason:independent REVIEW-01 found og:url but no canonical; skills_used:test-driven-development; mcp_used:playwright; evidence:red content assertion failed before implementation; evidence:green npm run test:all passed and browser asserted exact canonical; risk:low"
